"","genes","logFC","logCPM","LR","PValue","FDR","AGI","At_symbol","At_short_description","perc_ID"
"1","BraA10g013250.3C",-1.01794595422092,4.88931807890398,31.3648034361041,2.13822143508004e-08,0.000355593464526731,"AT5G55280","ATFTSZ1-1","homolog of bacterial cytokinesis Z-ring protein FTSZ 1-1",89.37
"2","BraA06g003880.3C",-1.36038356179875,4.45405291900029,30.7223421875912,2.97717234198536e-08,0.000355593464526731,"AT1G49560","HHO6","Homeodomain-like superfamily protein",78.669
"3","BraA01g006090.3C",-0.953046096096808,6.07632437952198,28.5867132627831,8.95948556208413e-08,0.000554148599489972,"AT4G31850","PGR3",NA,79.035
"4","BraA02g013050.3C",1.02618331134411,7.57972369822605,28.5188410645464,9.2791125165769e-08,0.000554148599489972,"AT5G56010","AtHsp90-3","heat shock protein 81-3",88.667
"5","BraA03g056150.3C",-0.888484104909231,4.94244643285207,24.5899010332867,7.09224479568117e-07,0.00338839087358464,"AT4G30720","PDE327",NA,88.8
"6","BraA04g021040.3C",1.26399329318149,5.51596162300176,23.7895605194904,1.07463731162923e-06,0.00375831585883306,"AT2G29150",NA,"NAD(P)-binding Rossmann-fold superfamily protein",85.84
"7","BraA05g013390.3C",-0.642812793132147,6.41486096132371,23.742363264788,1.10131492849261e-06,0.00375831585883306,"AT2G31170","FIONA","Cysteinyl-tRNA synthetase, class Ia family protein",88.145
"8","BraA08g021820.3C",-0.857723407680248,4.76756391778364,23.4495031076039,1.28235840812221e-06,0.00382912220665292,"AT4G37980","ATCAD7","elicitor-activated gene 3-1",86.406
"9","BraA07g028670.3C",-0.948573958202557,7.03836703416938,22.8342433952442,1.76591118674098e-06,0.0041148565831517,"AT1G73600","AtPMT3","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein",91.919
"10","BraA04g007380.3C",-1.6694926765927,4.8045599700667,22.671380299377,1.9220950375847e-06,0.0041148565831517,"AT3G51870",NA,NA,88.07
"11","BraA02g003390.3C",0.880879016794658,4.12729828412022,22.5453168607667,2.05244261108457e-06,0.0041148565831517,"AT5G10190",NA,"Major facilitator superfamily protein",85.705
"12","BraA10g012110.3C",-0.849906189929095,6.6471174983156,22.5316701595685,2.06707463989536e-06,0.0041148565831517,"AT5G53860","ANU7","embryo defective 2737",91.462
"13","BraA09g005800.3C",1.5903052406534,3.1110138835681,22.111006905337,2.57330034233541e-06,0.00472853835213141,"AT5G25770",NA,"alpha/beta-Hydrolases superfamily protein",86.088
"14","BraA01g015430.3C",-1.85747528885075,3.43419602298329,21.2064336519538,4.12377926614833e-06,0.0068582702245026,"AT4G24670","AtTAR2","tryptophan aminotransferase related 2",84.382
"15","BraA07g027520.3C",0.678147007414823,6.34714825458764,20.9962088939048,4.60193086654104e-06,0.0068582702245026,"AT1G76180","ERD14","Dehydrin family protein",80.171
"16","BraA01g006600.3C",-2.90783837808387,0.650159802101,20.9263825001793,4.77275821554278e-06,0.0068582702245026,"AT4G31290","AtGGCT2;2",NA,93.851
"17","BraA04g000310.3C",-4.01060583893917,2.9426436813354,20.7839420244278,5.14122383181665e-06,0.0068582702245026,"AT3G63110","ATIPT3",NA,84.341
"18","BraA06g027130.3C",-2.01096310690878,2.17313010615034,20.7740608189759,5.16781915777992e-06,0.0068582702245026,"AT5G63680",NA,"Pyruvate kinase family protein",90.607
"19","BraA06g017140.3C",-0.945740544584237,5.85720330715207,20.2560023012467,6.7740599572447e-06,0.00840107020292982,"AT1G21600","PTAC6","plastid transcriptionally active 6",86.567
