AGI,IAA,X1,name,chrom,start,end,subject,At_symbol,At_full_name,At_gene_model_type,At_short_description,At_Curator_summary,At_Computational_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score
AT5G39670,up,28240,BraA07g019920.3C,A07,16657800,16658390,AT5G39670.1,NA,NA,protein_coding,Calcium-binding EF-hand family protein,NA,Calcium-binding EF-hand family protein;(source:Araport11),83.01,618,75,3,1,591,1,615,0,655
AT2G44840,up,18711,BraA05g004720.3C,A05,2415853,2416551,AT2G44840.1,ATERF13,ETHYLENE-RESPONSIVE ELEMENT BINDING FACTOR 13,protein_coding,ethylene-responsive element binding factor 13,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5. The mRNA is cell-to-cell mobile.",ethylene-responsive element binding factor 13;(source:Araport11),84.518,633,74,3,33,665,6,614,0,708
AT3G61460,up,28729,BraA07g024620.3C,A07,19246166,19246687,AT3G61460.1,BRH1,brassinosteroid-responsive RING-H2,NA,NA,NA,NA,88.821,492,52,1,1,492,1,489,0,637
AT5G67060,up,37854,BraA09g042700.3C,A09,33127031,33127726,AT5G67060.1,HEC1,HECATE 1,protein_coding,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,Encodes a bHLH transcription factor that is involved in transmitting tract and stigma development and acts as a local modulator of auxin and cytokinin responses to control gynoecium development. HEC1 affects auxin transport by acting as a transcriptional regulator of PIN1 and PIN3.,basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11),83.699,730,81,8,1,696,1,726,0,778
AT5G15580,up,42416,BraA10g023920.3C,A10,16470630,16473862,AT5G15580.1,AtLNG1,NA,protein_coding,longifolia1,Encodes LONGIFOLIA1 (LNG1). Regulates leaf morphology by promoting cell expansion in the leaf-length direction.  The LNG1 homologue LNG2 (At3g02170) has similar function.,longifolia1;(source:Araport11),83.726,2802,327,15,1,2691,1,2784,0,3047
AT4G12720,up,31537,BraA08g011540.3C,A08,10057631,10060384,AT4G12720.4,AtNUDT7,Arabidopsis thaliana Nudix hydrolase homolog 7,protein_coding,MutT/nudix family protein,Encodes a protein with ADP-ribose hydrolase activity. Negatively regulates EDS1-conditioned plant defense and programmed cell death.,MutT/nudix family protein;(source:Araport11),88.806,402,45,0,20,421,29,430,1.44e-147,522
AT2G22810,up,16590,BraA04g016820.3C,A04,12823146,12824875,AT2G22810.1,ACC4,1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID  SYNTHASE POLYPEPTIDE,protein_coding,1-aminocyclopropane-1-carboxylate synthase 4,key regulatory enzyme in the biosynthesis of the plant hormone ethylene. ACS4 is specifically induced by indoleacetic acid (IAA).,1-aminocyclopropane-1-carboxylate synthase 4;(source:Araport11),89.333,1425,152,0,1,1425,1,1425,0,1885
AT3G60630,up,15192,BraA04g001630.3C,A04,1046260,1047912,AT3G60630.1,ATHAM2,ARABIDOPSIS THALIANA HAIRY MERISTEM 2,NA,NA,NA,NA,73.838,1785,251,30,55,1653,118,1872,0,1173
AT4G34760,up,370,BraA01g003540.3C,A01,1756341,1756664,AT4G34760.1,SAUR50,SMALL AUXIN UPREGULATED RNA 50,protein_coding,SAUR-like auxin-responsive protein family,NA,SAUR-like auxin-responsive protein family;(source:Araport11),92.284,324,25,0,1,324,1,324,8.18e-133,471
AT5G44210,up,7266,BraA02g031120.3C,A02,21252540,21253121,AT5G44210.1,ATERF-9,ERF DOMAIN PROTEIN- 9,protein_coding,erf domain protein 9,"encodes a member of the ERF (ethylene response factor) subfamily B-1 of ERF/AP2 transcription factor family (ATERF-9). The protein contains one AP2 domain. There are 15 members in this subfamily including ATERF-3, ATERF-4, ATERF-7, and leafy petiole.",erf domain protein 9;(source:Araport11),79.702,537,76,8,70,582,76,603,1.52e-132,471
